,Source Port,Destination Port,Packet Length,Packet Type,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Signature,Month_of_received,hour_of_the_day,day_of_the_week,is_weekend,Is_Private,protocol_ICMP,protocol_TCP,protocol_UDP,traffic_DNS,traffic_FTP,traffic_HTTP,Attack_Type_DDoS,Attack_Type_Intrusion,Attack_Type_Malware,Severity_High,Severity_Low,Severity_Medium,Segments_Segment A,Segments_Segment B,Segments_Segment C
8890,49389,61695,87,1,1,25.23,0,0,1,16,6,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
8891,4723,5026,963,1,0,76.52,1,1,11,22,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
8892,24186,12257,661,1,0,2.88,1,0,2,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
8893,52242,62165,766,1,0,3.51,1,1,2,3,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
8894,48659,64625,1047,0,1,48.05,1,1,6,10,6,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
8895,27289,27685,1036,0,0,43.73,0,1,6,18,6,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
8896,52534,38431,464,1,0,96.39,0,0,4,4,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
8897,26198,53518,1297,1,1,86.88,0,0,9,20,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0
8898,16510,56906,1417,0,0,24.97,0,0,11,15,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
8899,45206,26034,842,1,1,67.69,1,0,7,17,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
8900,60938,19628,884,1,0,87.37,1,0,6,16,4,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
8901,19207,58373,685,1,0,26.68,1,1,12,10,2,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
8902,57824,23287,720,1,1,32.14,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
8903,62065,11523,703,1,0,30.57,0,0,8,11,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
8904,13660,30911,1112,1,0,4.44,1,0,11,1,3,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
8905,62042,40087,1485,0,0,14.41,1,1,2,15,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
8906,4992,18915,399,0,1,39.6,0,1,11,17,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
8907,20427,22955,961,1,0,71.35,0,0,11,20,5,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
8908,20362,4162,1116,1,1,39.01,0,0,12,1,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0
8909,25913,20040,205,0,1,0.01,1,1,10,6,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
8910,21498,65039,758,1,1,77.27,1,0,6,17,5,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
8911,26952,35374,1408,1,0,93.59,1,1,6,9,4,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
8912,43615,45991,559,1,0,64.37,0,0,6,1,6,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
8913,9119,59409,286,0,0,64.87,1,1,12,4,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
8914,8617,18757,666,1,0,60.79,0,0,9,3,6,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
8915,55766,35099,972,1,1,65.88,1,0,10,10,6,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
8916,6722,2193,349,1,0,94.99,1,0,10,5,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
8917,64175,2809,373,1,1,32.26,1,1,4,20,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0
8918,24067,20087,174,0,0,74.86,1,0,7,20,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
8919,16343,53789,932,1,1,78.56,1,1,8,5,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
8920,49027,18667,360,0,0,74.97,1,0,1,7,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
8921,51139,48462,859,1,1,76.33,0,1,10,14,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
8922,55549,17626,648,0,0,78.82,1,0,8,6,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
8923,13918,20250,434,1,1,59.7,1,1,2,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
8924,53916,4898,847,1,1,93.93,0,1,7,14,5,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
8925,22301,3692,1392,0,0,43.31,1,0,8,11,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
8926,26230,26718,590,0,0,8.74,0,1,4,15,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
8927,28532,17952,1096,1,1,39.97,0,0,11,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
8928,53818,20068,381,0,1,80.87,0,0,12,23,5,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
8929,36242,23407,673,1,1,27.69,1,0,2,6,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
8930,37674,13500,1048,0,0,72.21,1,0,3,19,2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
8931,46964,33223,828,1,0,7.83,1,0,10,20,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
8932,2619,17038,911,0,0,86.64,0,0,8,6,6,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
8933,62809,52135,469,1,0,27.1,0,1,8,23,4,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
8934,24329,25413,471,0,1,95.02,1,0,1,1,5,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
8935,21258,22075,1315,1,1,82.95,1,1,3,4,2,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
8936,26895,1858,705,1,0,92.49,0,1,1,18,6,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
8937,63851,52793,1217,0,0,99.34,1,1,7,1,5,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
8938,5188,58152,234,0,1,82.1,1,1,6,18,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
8939,60065,33853,1035,0,1,45.06,1,0,7,21,3,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
8940,32336,4906,843,1,1,19.12,1,0,5,0,5,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
8941,9068,59710,795,0,1,93.26,1,0,9,12,5,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
8942,26887,62117,495,1,1,9.26,1,1,2,18,5,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
8943,54054,17232,1398,1,0,54.7,0,1,8,3,3,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
8944,51317,63420,695,1,1,70.15,1,1,1,21,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
8945,62578,23477,435,0,1,87.6,1,0,8,20,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
8946,28840,15983,496,0,0,84.5,1,1,2,13,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
8947,12700,7684,149,1,0,11.07,1,0,9,12,3,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
8948,57062,59469,794,0,0,12.1,0,1,3,21,5,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
8949,36323,31799,759,0,1,99.27,1,1,5,0,4,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
8950,46312,8844,1480,0,1,3.59,0,1,8,20,4,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
8951,1508,18208,1130,1,0,54.24,1,1,1,4,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
8952,56192,50637,302,1,0,6.59,0,1,4,20,4,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
8953,32458,35025,1347,1,0,61.84,1,1,12,6,2,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0
8954,55291,59264,270,0,1,59.49,0,0,10,22,4,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
8955,34256,8271,1223,0,1,5.67,1,0,3,2,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
8956,12379,14857,90,1,1,60.44,0,0,9,7,2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
8957,27066,23291,1179,0,0,91.69,1,1,10,4,5,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
8958,43778,23813,81,0,0,92.0,1,0,10,12,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
8959,11540,61393,375,1,0,20.16,0,1,6,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
8960,28129,16162,448,0,0,83.27,0,1,12,23,6,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0
8961,9312,18851,804,0,0,20.09,0,1,12,19,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
8962,8736,36317,970,0,1,31.15,1,1,10,2,2,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
8963,32170,20808,742,1,0,68.87,0,0,10,15,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
8964,40967,60488,525,1,0,21.81,1,0,2,8,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
8965,11281,45003,1455,1,0,56.29,1,1,2,20,3,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
8966,15207,12481,961,0,0,6.98,1,0,7,22,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
8967,24055,42504,449,0,1,53.76,0,0,5,5,6,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
8968,44142,38293,1240,0,1,80.26,0,0,5,9,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
8969,17908,19450,178,1,0,65.34,1,0,10,13,3,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0
8970,43450,56504,187,1,0,80.73,0,0,3,2,2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
8971,10098,27850,1391,1,0,25.88,0,1,1,1,5,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
8972,51685,47749,140,0,1,67.93,0,0,8,2,4,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
8973,30976,8843,604,0,0,80.7,1,1,3,11,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
8974,21833,9160,1014,1,1,99.26,0,0,5,13,4,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
8975,31594,34587,1154,1,0,33.77,0,1,1,6,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
8976,19960,6791,1465,1,0,51.55,1,0,6,5,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
8977,40446,62118,1280,0,1,89.29,0,0,1,1,5,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
8978,18994,49841,379,0,1,97.07,0,1,5,22,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0
8979,46117,39241,1117,0,0,70.12,0,0,8,22,6,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
8980,36991,2475,1193,0,0,4.59,0,1,8,20,5,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
8981,54210,61333,1165,1,0,31.69,0,0,1,21,3,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
8982,15317,54609,1066,1,1,46.06,1,0,4,20,3,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
8983,38945,43622,1386,1,1,31.87,0,0,4,17,6,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
8984,12250,48853,892,0,0,57.98,1,0,3,20,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
8985,50504,58547,1015,1,0,10.19,1,1,12,16,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
8986,30869,16992,894,0,1,66.42,1,1,12,6,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
8987,55004,65062,248,1,0,3.72,0,0,6,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
8988,53147,21640,1270,1,0,64.86,1,0,8,18,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
8989,32819,14225,1301,0,1,20.06,0,0,9,12,3,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
8990,41623,37293,1356,0,1,4.07,0,1,8,4,6,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0
8991,40998,20601,283,1,0,76.02,1,1,4,10,3,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
8992,62346,19926,876,1,0,55.61,0,1,2,2,3,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
8993,58155,21407,986,0,0,99.06,1,0,4,7,2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
8994,59177,7815,393,1,0,95.64,1,1,5,3,5,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
8995,49172,42069,1467,1,1,46.5,1,1,8,16,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
8996,22126,29629,810,1,0,24.49,1,0,12,14,4,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
8997,20946,53018,432,0,1,14.05,1,1,4,3,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
8998,34965,10480,1264,0,0,66.87,0,0,9,10,4,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
8999,60979,61167,895,1,0,4.25,1,0,6,9,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
9000,31494,6484,745,0,1,73.01,0,1,9,21,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
9001,49054,1837,1294,0,1,69.32,0,0,9,9,4,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0
9002,20122,6814,446,0,0,63.22,1,0,6,14,5,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
9003,19112,34320,238,1,0,46.32,0,1,1,10,4,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
9004,10589,50715,753,0,0,44.82,1,1,8,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
9005,17511,5588,810,0,1,27.02,1,0,7,18,6,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
9006,37558,39574,1093,1,1,23.51,0,0,6,14,4,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
9007,12108,34671,653,0,1,53.75,1,0,5,4,2,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
9008,63166,4014,849,0,1,72.11,1,1,12,8,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
9009,12759,27616,353,1,0,98.3,0,0,6,4,3,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
9010,44196,54973,403,0,0,60.22,0,0,11,17,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
9011,44775,13992,526,0,1,46.93,0,1,9,4,6,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
9012,45513,19091,957,1,0,72.2,1,0,12,2,4,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
9013,37562,53896,943,1,0,13.54,0,1,5,11,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
9014,17721,39706,1480,0,1,34.69,1,0,8,8,3,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
9015,34148,24586,399,1,1,82.69,1,1,7,11,3,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
9016,20169,41454,194,0,1,47.07,1,0,11,10,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
9017,40808,18880,1233,0,0,26.06,0,1,4,2,5,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
9018,2944,60323,626,1,1,58.83,0,0,12,10,5,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
9019,31365,60841,936,0,1,93.85,0,0,5,21,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
9020,46763,6871,1324,1,0,99.23,0,1,12,20,4,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
9021,62963,25061,935,1,1,62.43,0,0,4,4,2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
9022,28579,28535,421,1,0,48.45,0,1,5,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
9023,40368,41615,677,1,1,47.34,1,1,4,2,5,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
9024,37956,42472,542,0,1,40.26,1,1,3,7,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0
9025,60849,4649,1424,0,0,54.82,0,1,4,13,4,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
9026,39478,8589,1498,0,0,30.89,1,1,4,3,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
9027,3347,6986,185,1,1,54.76,1,0,1,13,6,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
9028,16097,59089,641,1,0,24.87,1,0,1,16,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
9029,29281,50016,729,1,1,96.48,0,1,7,21,6,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
9030,51827,34484,1404,1,1,13.57,1,1,12,23,4,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0
9031,61910,56922,1251,0,1,99.84,1,1,11,13,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
9032,62076,31393,569,1,0,90.93,0,1,3,19,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
9033,7963,3321,1404,1,0,51.88,1,1,3,12,3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
9034,56503,13439,269,1,1,99.97,0,1,2,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
9035,18600,14859,1108,1,0,90.83,0,1,4,22,6,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
9036,28723,17506,75,1,1,36.04,0,1,6,12,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
9037,8340,9080,721,0,0,98.02,1,0,3,5,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
9038,46631,32315,1399,1,0,6.38,1,1,10,15,3,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
9039,53983,14840,74,0,0,30.84,0,0,4,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
9040,15130,11432,148,1,0,30.6,0,0,11,0,6,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
9041,34503,53038,1090,0,1,47.75,1,0,12,18,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
9042,34075,45417,1496,1,1,85.82,1,1,12,22,6,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
9043,21583,11449,1295,1,0,55.6,1,1,6,23,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
9044,38578,46000,316,0,0,8.6,1,0,11,16,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
9045,33877,17754,329,0,1,80.42,1,0,8,23,3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
9046,35066,29001,1153,0,0,43.65,0,0,3,12,6,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
9047,35137,61830,251,1,1,53.84,0,0,8,7,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
9048,4559,24909,785,1,0,39.5,0,1,4,19,3,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
9049,23369,32269,1269,1,0,47.61,1,0,2,10,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
9050,32662,41335,1360,0,1,97.52,1,1,5,9,5,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
9051,21496,2539,956,0,1,76.87,1,0,2,2,6,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
9052,56303,64806,1130,0,0,86.37,1,1,11,5,4,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
9053,22154,39473,308,0,1,32.97,1,0,10,18,6,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
9054,57261,60288,552,0,0,32.37,1,0,9,8,4,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
9055,3508,8476,932,1,1,75.98,1,1,6,13,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
9056,17436,1058,1042,0,0,29.08,1,0,3,8,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
9057,12457,19840,1463,0,1,76.21,1,0,5,3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
9058,53654,13368,1422,0,1,64.18,1,0,3,1,5,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
9059,33882,48230,1089,1,1,78.39,1,0,2,19,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
9060,64861,49979,121,0,1,86.26,0,1,12,0,4,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
9061,28780,61537,822,0,0,98.99,0,1,7,10,3,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
9062,7466,33010,1275,1,0,49.08,1,1,1,16,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
9063,14847,9390,1073,1,1,52.33,0,1,5,21,5,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
9064,12720,34097,1040,0,0,19.92,1,0,9,22,5,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
9065,52671,43564,1427,1,1,97.15,0,0,8,14,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
9066,10050,40273,74,0,1,55.29,1,1,10,3,6,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0
9067,12698,50113,1400,0,1,94.55,1,1,4,5,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
9068,25203,58748,700,0,1,54.72,0,0,11,7,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
9069,47595,59095,785,0,0,29.18,0,0,4,11,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
9070,32349,20068,236,1,0,76.93,0,1,5,5,6,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
9071,31150,18829,1382,1,1,56.84,1,1,3,12,3,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
9072,22836,21002,285,0,0,65.05,0,1,4,21,6,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
9073,40266,13454,405,1,0,65.88,1,0,5,10,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
9074,34468,7369,953,0,0,45.31,0,0,3,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
9075,26534,41809,157,1,1,32.53,0,0,9,1,3,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
9076,37226,38281,121,0,0,98.11,0,0,2,16,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
9077,19581,30358,1199,0,0,35.99,1,0,10,19,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
9078,59335,44388,263,1,1,70.01,1,1,8,19,4,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
9079,11112,38503,982,1,1,11.74,0,1,5,21,5,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
9080,47883,54153,730,0,1,53.57,0,0,7,4,6,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
9081,51453,20022,1177,1,1,24.94,1,1,2,7,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
9082,29420,16936,123,1,1,92.99,0,0,9,1,4,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
9083,26002,28176,1122,1,0,2.09,0,1,1,16,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
9084,2950,24698,852,0,1,76.2,1,0,4,9,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
9085,16982,36272,532,1,1,45.18,0,1,11,12,6,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
9086,56094,30353,186,1,1,82.51,1,0,2,18,4,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0
9087,34785,14115,442,1,0,99.64,0,1,5,21,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
9088,49618,59679,183,0,1,48.09,0,0,10,7,6,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
9089,42185,47458,1112,0,1,41.67,0,1,8,2,6,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
9090,65530,26538,584,1,1,80.42,0,0,9,14,4,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
9091,25264,2343,1213,0,1,18.2,0,1,7,17,5,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
9092,3099,61836,1425,0,0,75.8,0,0,4,22,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
9093,55223,53614,677,0,1,90.42,1,0,6,19,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
9094,52102,18622,95,1,1,55.77,0,1,1,10,4,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
9095,22437,48454,555,0,1,21.68,1,0,9,21,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
9096,37237,11271,1351,0,1,48.26,0,1,11,5,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
9097,39376,62735,859,0,0,40.94,1,0,1,23,2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
9098,13112,31769,337,0,1,70.6,0,0,12,0,2,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
9099,3586,12320,983,1,1,62.95,1,0,6,21,5,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
9100,42570,58126,1174,0,1,22.1,0,1,11,5,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
9101,64210,10911,858,0,1,66.89,1,1,6,10,3,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
9102,34902,34681,296,1,0,58.9,0,1,8,7,4,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
9103,49372,41346,1371,0,1,71.38,0,1,12,16,3,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
9104,9714,24637,665,1,1,16.13,0,1,7,10,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
9105,64070,26955,1067,0,0,18.75,1,1,10,23,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
9106,61166,22013,425,1,1,70.51,0,0,2,19,3,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
